2016-07-09 16:43, 12.500, 60.000, 2012, impreza, seattle, automatic, excellent, clean, 2012 Subaru Impreza, 2016-07-05 20:04, http://seattle.craigslist.org/est/cto/5669208678.html, db:5669208678:db 
2016-07-09 16:43, 13.750, 59.700, 2010, impreza, seattle, automatic, good, clean, 2010 impreza 2.5i with upgrades, 2016-07-05 13:40, http://seattle.craigslist.org/skc/cto/5668668651.html, db:5668668651:db 
2016-07-09 16:43, 16.000, 32.000, 2011, impreza, seattle, automatic, new, clean, 2011 Subaru Impreza excellent, 2016-06-28 11:00, http://seattle.craigslist.org/see/cto/5657997824.html, db:5657997824:db 
2016-07-09 16:43, 14.000, 37.000, 2010, impreza, seattle, automatic, excellent, clean, 2010 Subaru Impreza 2.5i *LOW MILAGE*, 2016-06-28 10:53, http://seattle.craigslist.org/est/cto/5620279353.html, db:5620279353:db 
2016-07-09 16:43, 10.700, 62.656, 2008, impreza, seattle, automatic, good, clean, 2008 Subaru Impreza sport package, 2016-06-17 14:44, http://seattle.craigslist.org/see/cto/5640728215.html, db:5640728215:db 
2016-07-09 16:43, 10.700, 62.655, 2008, impreza, seattle, automatic, good, clean, 2008 Subaru Impreza sport sedan, 2016-06-17 13:44, http://bellingham.craigslist.org/cto/5640726301.html, db:5640726301:db 
2016-07-09 16:43, 15.000, 5.000, 2015, outback, sandiego, automatic, unknown, clean, 2015 Subaru Outback Limited (SANDIEGO), 2016-07-07 01:12, http://inlandempire.craigslist.org/cto/5671030320.html, db:5671030320:db 
2016-07-09 16:43, 14.800, 55.000, 2013, forester, sandiego, automatic, unknown, clean, Beautiful 2013 Subaru Forester 2.5X (PZEV) with Only 55-000 miles!, 2016-07-07 09:06, http://sandiego.craigslist.org/esd/cto/5671450292.html, db:5671450292:db 
2016-07-09 16:43, 14.600, 67.000, 2010, forester, sandiego, automatic, unknown, clean, 2010 Subaru Forester XT, 2016-06-22 14:09, http://sandiego.craigslist.org/nsd/cto/5610775523.html, db:5610775523:db 
2016-07-09 16:43, 14.600, 69.824, 2011, forester, sandiego, automatic, excellent, clean, 2011 Subaru Forester 2.5x Premium, 2016-07-01 13:29, http://orangecounty.craigslist.org/cto/5653206611.html, db:5653206611:db 
2016-07-09 16:43, 15.000, 65.000, 2011, forester, sandiego, automatic, good, clean, 2011 Subaru Forester 2.5X 65-000mi, 2016-06-20 20:44, http://losangeles.craigslist.org/wst/cto/5645754933.html, db:5645754933:db 
2016-07-09 16:43, 13.000, 56.000, 2013, impreza, sandiego, automatic, unknown, clean, 2013 Subaru Impreza **Mechanic owned**, 2016-06-26 08:20, http://orangecounty.craigslist.org/cto/5654463133.html, db:5654463133:db 
2016-07-09 16:43, 11.500, 55.000, 2010, impreza, sandiego, automatic, excellent, clean, 2010 Subaru Impreza i Premium, 2016-06-12 12:43, http://inlandempire.craigslist.org/cto/5632263814.html, db:5632263814:db 
2016-07-09 16:43, 15.000, 5.000, 2015, outback, lasvegas, automatic, unknown, clean, 2015 Subaru Outback Limited (SANDIEGO), 2016-07-07 01:12, http://inlandempire.craigslist.org/cto/5671030320.html, db:5671030320:db 
2016-07-09 16:43, 14.500, 23.000, 2014, impreza, lasvegas, automatic, unknown, clean, 2014 SUBARU IMPREZA PREMIUM AWD 4CYL AUTO 23K MILES CLEAN TITLE, 2016-06-28 10:13, http://lasvegas.craigslist.org/cto/5619883571.html, db:5619883571:db 
2016-07-09 16:43, 14.500, 23.000, 2014, impreza, lasvegas, automatic, unknown, clean, 2014 SUBARU IMPREZA PREMIUM AWD 4CYL AUTO 23K MILES CLEAN TITLE, 2016-06-27 12:44, http://lasvegas.craigslist.org/cto/5651971525.html, db:5651971525:db 
2016-07-09 16:43, 13.877, 74.568, 2009, impreza, lasvegas, automatic, excellent, clean, LOW MILES 2009 Subaru Impreza 2.5i Premium, 2016-06-17 13:55, http://flagstaff.craigslist.org/cto/5640787294.html, db:5640787294:db 
2016-07-09 16:43, 11.500, 55.000, 2010, impreza, lasvegas, automatic, excellent, clean, 2010 Subaru Impreza i Premium, 2016-06-12 12:43, http://inlandempire.craigslist.org/cto/5632263814.html, db:5632263814:db 
2016-07-09 16:43, 13.900, 77.500, 2008, outback, portland, automatic, good, clean, 2008 Subaru Outback 2.5 LL Bean Edition, 2016-06-30 13:36, http://portland.craigslist.org/wsc/cto/5661579064.html, db:5661579064:db 
2016-07-09 16:43, 12.900, 68.286, 2008, forester, portland, automatic, excellent, clean, 2008 Subaru Forester- LL Bean - Low Miles!!, 2016-07-03 10:23, http://portland.craigslist.org/clc/cto/5665655852.html, db:5665655852:db 
2016-07-09 16:43, 12.500, 74.800, 2010, forester, portland, automatic, good, clean, 2010 Subaru Forester, 2016-06-20 11:05, http://portland.craigslist.org/mlt/cto/5639636595.html, db:5639636595:db 
2016-07-09 16:43, 16.000, 39.500, 2013, forester, portland, automatic, excellent, clean, 2013 Subaru Forester - All Wheel Drive - Priced to Sell - CarFax Avail, 2016-06-21 11:50, http://seattle.craigslist.org/est/cto/5626317228.html, db:5626317228:db 
2016-07-09 16:43, 10.500, 52.000, 2008, impreza, portland, manual, excellent, clean, 2008 Suburu Impreza Wagon, 2016-07-07 20:48, http://portland.craigslist.org/clc/cto/5672502191.html, db:5672502191:db 
2016-07-09 16:43, 9.950, 77.000, 2008, impreza, portland, manual, unknown, clean, 2008 Subaru Impreza 2.5i, 2016-07-06 21:44, http://portland.craigslist.org/mlt/cto/5667469691.html, db:5667469691:db 
2016-07-09 16:43, 12.000, 77.000, 2010, impreza, portland, automatic, excellent, clean, 2010 Subaru Impreza AWD Low Low Miles, 2016-07-01 13:06, http://portland.craigslist.org/mlt/cto/5663129240.html, db:5663129240:db 
2016-07-09 16:43, 12.500, 60.000, 2012, impreza, portland, automatic, excellent, clean, 2012 Subaru Impreza, 2016-07-05 20:04, http://seattle.craigslist.org/est/cto/5669208678.html, db:5669208678:db 
2016-07-09 16:43, 13.750, 59.700, 2010, impreza, portland, automatic, good, clean, 2010 impreza 2.5i with upgrades, 2016-07-05 13:40, http://seattle.craigslist.org/skc/cto/5668668651.html, db:5668668651:db 
2016-07-09 16:43, 16.000, 32.000, 2011, impreza, portland, automatic, new, clean, 2011 Subaru Impreza excellent, 2016-06-28 11:00, http://seattle.craigslist.org/see/cto/5657997824.html, db:5657997824:db 
2016-07-09 16:43, 14.000, 37.000, 2010, impreza, portland, automatic, excellent, clean, 2010 Subaru Impreza 2.5i *LOW MILAGE*, 2016-06-28 10:53, http://seattle.craigslist.org/est/cto/5620279353.html, db:5620279353:db 
